Service Name;Service Link;Description;Short Description;Other Links;Date;Mini Description
Applying for construction and operation permissions;https://www.espoo.fi/en/services/applying-construction-and-operation-permissions;"The Espoo Building Control Department grants the permissions needed for construction and renovation of buildings and structures. Building Control also grants permissions for landscape work and demolition. It is recommended to apply for the permissions through electronic customer service. Building Control organises pre-negotiations before applying for the permission.

Construction generally requires a building permit or another approval by an authority. The extension of a building, significant repairs and alterations and a change of purpose also require a building or operation permit. The issue is stipulated in the Land Use and Building Act. The municipality's Building Code may also define which operations are subject to permission or declaration.

The qualification of the designers of a construction project is stipulated by law. The permission procedure also includes notifying the neighbours and/or obtaining their permission. Construction may not be started until the permission decision is legally valid.";The Espoo Building Control Department grants the permissions needed for construction and renovation of buildings and structures. Building Control also grants permissions for landscape work and demolition. It is recommended to apply for the permissions through electronic customer service. Building Control organises pre-negotiations before applying for the permission.;Espoo Building Control: https://www.espoo.fi/en/unit/21970;13.10.2025;This service handles applications and approvals for construction, renovation, demolition, and landscape work, including pre-negotiations and neighbour notification, and ensures the permit is legally valid before work can begin.
Applying for exemption from wastewater system renovation;https://www.espoo.fi/en/services/applying-exemption-wastewater-system-renovation;You can apply for an exemption from the deadline for renovating your property-specific wastewater system. An exemption only needs to be applied for if the system does not comply with the requirements of the Environmental Protection Act and the building is located less than 100 metres from a water system or in an important groundwater area. In other areas, there is no need to renovate the wastewater system until a flush toilet is built or a full renovation is made.;You can apply for an exemption from the deadline for renovating your property-specific wastewater system.;"Environmental protection services: https://www.espoo.fi/en/unit/66794; Environmental supervision: https://www.espoo.fi/fi/asuminen-ja-rakentaminen/ymparistonsuojelu/ymparistovalvonta/ymparistovalvonnan-luvat-ilmoitukset-ja-rekisterointi#section-15217";13.10.2025;"This service lets property owners apply for an exemption from wastewater system renovation deadlines when the system is non-compliant and the building is within 100 meters of a water system or in an important groundwater area; in other areas, renovation can be postponed until a flush toilet is installed or a full renovation is carried out."
Approving a supervisor in charge;https://www.espoo.fi/en/services/approving-supervisor-charge;The supervisor in charge of a construction project must be approved by Building Control. The party launching the project announces the supervisor in charge with a form that indicates the qualification of the supervisor. The permit engineer of the Building Control technical unit inspects the qualifications of supervisors.;The supervisor in charge of a construction project must be approved by Building Control.;Espoo Building Control: https://www.espoo.fi/en/unit/21970;13.10.2025;This service approves the supervisor in charge of a construction project by reviewing and validating the supervisor’s qualifications submitted to Building Control.
Artificial ice rinks;https://www.espoo.fi/en/sports-and-nature/outdoor-exercise-facilities/artificial-ice-rinks;Espoo's ice rinks are available free of charge to anyone wanting to skate or play ice hockey or bandy. The rinks vary in size, and some of them have different hours for ice skaters and players. Visit the ulkoliikunta.fi website to check the condition of Espoo's ice rinks. The website contains information on the location of the rinks, changing rooms, maintenance times and opening hours.;Espoo's ice rinks are available free of charge to anyone wanting to skate or play ice hockey or bandy.;"Espoonlahti Sports park / Artificial ice field: https://www.espoo.fi/en/unit/50568; Juvanpuisto School / Artificial ice rink: https://www.espoo.fi/en/unit/39370; Keski-Espoo Sports Park / Artificial ice rink: https://www.espoo.fi/en/unit/53524; Laaksolahti Sports Park / Artificial ice rink, inline hockey rink: https://www.espoo.fi/en/unit/63147; Matinkylä Sports Park / Artificial ice field: https://www.espoo.fi/en/unit/67841; Otaniemi Sports Park / artificial ice rink: https://www.espoo.fi/en/unit/39563; Perkkaa artificial ice rink: https://www.espoo.fi/en/unit/68916; Puolarmaari artificial ice rink: https://www.espoo.fi/en/unit/63148; Säterinniitty field / Artificial ice rink: https://www.espoo.fi/en/unit/53615; Tapiola Ice Garden: https://www.espoo.fi/en/unit/39834; Tapionkenttä / Artificial ice rink: https://www.espoo.fi/en/unit/53563";13.10.2025;Espoo's artificial ice rinks provide free public ice skating, ice hockey and bandy, with rinks of varying sizes and hours, and detailed location and opening-time information on ulkoliikunta.fi.
Ask the museum;https://www.espoo.fi/en/services/ask-museum;"Researchers at the City Museum are happy to answer your questions about the history of Espoo. You can send your question to kaupunginmuseo(at)espoo.fi

What was there in the area of Espoo 6,000 years ago? Where was the oldest manor in Espoo located? What is the story of Mankby? Where was the Espoo hypermarket located? Researchers at the City Museum are happy to answer your questions about the history of Espoo. You can send your own question, or you can explore the history of Espoo at the exhibition A Thousand Stories about Espoo.

The information search for brief questions is free. Wider questions are separately negotiated.";Researchers at the City Museum are happy to answer your questions about the history of Espoo. You can send your question to kaupunginmuseo(at)espoo.fi;KAMU Espoo City Museum: https://www.espoo.fi/en/unit/20405;13.10.2025;"Ask the museum is a service where City Museum researchers answer questions about Espoo's history by email, with free brief inquiries and negotiated terms for broader questions, plus access to the ""A Thousand Stories about Espoo"" exhibition."
Assessment of the qualification of designers;https://www.espoo.fi/en/services/assessment-qualification-designers;"A qualified designer in a construction project has completed sufficient studies and has experience of comparable tasks. Building Control assesses the qualification of the designer for each construction project individually.

The designers are presented to Building Control in connection with submitting the permit application at the latest.";A qualified designer in a construction project has completed sufficient studies and has experience of comparable tasks. Building Control assesses the qualification of the designer for each construction project individually.;Espoo Building Control: https://www.espoo.fi/en/unit/21970;13.10.2025;Building Control assesses and verifies each designer’s qualifications for a construction project based on education and relevant experience, with designer submissions required no later than the permit application.
Audience outreach work;https://www.espoo.fi/en/services/audience-outreach-work;"Through its audience outreach work, the Tapiola Sinfonietta provides musical encounters and experiences free of charge for people not reached by the orchestra's public concerts. This work addresses all age groups and social groups. 
Small ensembles of the Tapiola Sinfonietta perform at dozens of public venues of the City of Espoo each year, such as child care clinics, schools and hospitals. There are also interactive concerts for the orchestra's 'godchildren' and for schoolchildren. 
Concerts organised along the KULPS! Culture and Sports Path reach schoolchildren in grades 1 to 9 at Espoo schools every year. The orchestra is also involved in services of the City of Espoo such as the Culture Clinic, the Culture Chain and Culture Buddy programmes, and in the national Echo Card service.
The Tapiola Sinfonietta performs at city events in Espoo, and public events free of charge are often held in connection with concerts.
Seven of the members of the orchestra have trained as hospital musicians, and our community musician works with special needs groups and the elderly.
";"Small ensembles of the Tapiola Sinfonietta perform at dozens of public venues of the City of Espoo each year, such as child care clinics, schools and hospitals. There are also interactive concerts for the orchestra's 'godchildren' and for schoolchildren. 
";"Espoo Cultural Centre: https://www.espoo.fi/en/unit/20402; Tapiola Sinfonietta: https://www.espoo.fi/en/unit/20414; Audience outreach work: https://www.espoo.fi/en/tapiola-sinfonietta/audience-outreach";13.10.2025;Audience Outreach Work delivers free, accessible musical encounters to diverse Espoo communities by performing small-ensemble and interactive concerts at clinics, schools, hospitals, and public venues, reaching audiences not served by the orchestra’s regular concerts.
Basic education;https://www.espoo.fi/en/services/basic-education;All children and young people under the compulsory school age living in Espoo have the right to participate in basic education organised by the city. Education is provided in grades 1-9. In comprehensive school, the pupil completes compulsory education and receives a certificate that provides eligibility for further studies.;All children and young people under the compulsory school age living in Espoo have the right to participate in basic education organised by the city.;"Aarnivalkean koulu: https://www.espoo.fi/en/unit/15324; Alberga skola: https://www.espoo.fi/en/unit/65018; Auroran koulu: https://www.espoo.fi/en/unit/15345; Eestinkallion koulu: https://www.espoo.fi/en/unit/15379; Espoo International School: https://www.espoo.fi/en/unit/15383; Espoon Steinerkoulu: https://www.espoo.fi/en/unit/15315; Espoonlahden koulu: https://www.espoo.fi/en/unit/15381; Etelä-Tapiolan lukio: https://www.espoo.fi/en/unit/15359; Finno skola: https://www.espoo.fi/en/unit/15413; Friisilän koulu: https://www.espoo.fi/en/unit/15347; Hansakallion koulu: https://www.espoo.fi/en/unit/15366; Haukilahden koulu: https://www.espoo.fi/en/unit/15323; Jalavapuiston koulu: https://www.espoo.fi/en/unit/15394; Järvenperän koulu: https://www.espoo.fi/en/unit/15340; Jousenkaaren koulu: https://www.espoo.fi/en/unit/15353; Jupperin koulu: https://www.espoo.fi/en/unit/15319; Juvanpuiston koulu: https://www.espoo.fi/en/unit/15385; Kaitaan koulu: https://www.espoo.fi/en/unit/15421; Kaitaan koulu, Hyljelahden toimipiste: https://www.espoo.fi/en/unit/15354; Kalajärven koulu: https://www.espoo.fi/en/unit/15363; Kantokasken koulu: https://www.espoo.fi/en/unit/15412; Karakallion koulu: https://www.espoo.fi/en/unit/15423; Karamalmens skola: https://www.espoo.fi/en/unit/15358; Karamzinin koulu: https://www.espoo.fi/en/unit/15320; Karhusuon koulu: https://www.espoo.fi/en/unit/15406; Kauklahden koulu: https://www.espoo.fi/en/unit/15419; Keinumäen koulu: https://www.espoo.fi/en/unit/15338; Kilon koulu: https://www.espoo.fi/en/unit/15313; Kilonpuiston koulu: https://www.espoo.fi/en/unit/15355; Kirkkojärven koulu: https://www.espoo.fi/en/unit/15397; Kirstin koulu: https://www.espoo.fi/en/unit/15404; Kivimiehen koulu: https://www.espoo.fi/en/unit/63347; Koulumäen koulu: https://www.espoo.fi/en/unit/15361; Koulumestarin koulu: https://www.espoo.fi/en/unit/15342; Kuitinmäen koulu: https://www.espoo.fi/en/unit/15326; Kungsgårdsskolan: https://www.espoo.fi/en/unit/15378; Laajalahden koulu: https://www.espoo.fi/en/unit/15410; Lagstads skola: https://www.espoo.fi/en/unit/15370; Lähderannan koulu: https://www.espoo.fi/en/unit/15341; Lahnuksen koulu: https://www.espoo.fi/en/unit/15327; Laurinlahden koulu: https://www.espoo.fi/en/unit/15368; Leppävaaran koulu: https://www.espoo.fi/en/unit/15414; Lintulaakson koulu: https://www.espoo.fi/en/unit/15304; Lintumetsän koulu: https://www.espoo.fi/en/unit/15392; Lintuvaaran koulu: https://www.espoo.fi/en/unit/15318; Mainingin koulu: https://www.espoo.fi/en/unit/15352; Mankkaan koulu: https://www.espoo.fi/en/unit/15428; Mankkaanpuron koulu: https://www.espoo.fi/en/unit/18222; Martinkallion koulu: https://www.espoo.fi/en/unit/15360; Matinlahden koulu: https://www.espoo.fi/en/unit/15316; Mattlidens skola: https://www.espoo.fi/en/unit/15308; Meritorin koulu: https://www.espoo.fi/en/unit/15356; Mikkelän koulu: https://www.espoo.fi/en/unit/15349; Nauriskasken koulu: https://www.espoo.fi/en/unit/15387; Niipperi school: https://www.espoo.fi/en/unit/15337; Niittykummun koulu: https://www.espoo.fi/en/unit/15336; Nöykkiön koulu: https://www.espoo.fi/en/unit/15393; Nöykkiönlaakson koulu: https://www.espoo.fi/en/unit/18223; Olarin koulu: https://www.espoo.fi/en/unit/15375; Päivänkehrä School: https://www.espoo.fi/en/unit/15380; Pakankylän koulu: https://www.espoo.fi/en/unit/15372; Perkkaan koulu: https://www.espoo.fi/en/unit/68415; Pohjois-Tapiolan koulu: https://www.espoo.fi/en/unit/15302; Postipuun koulu: https://www.espoo.fi/en/unit/15332; Rastaalan koulu: https://www.espoo.fi/en/unit/15330; Rinnekodin koulu: https://www.espoo.fi/en/unit/56421; Rödskogs skola: https://www.espoo.fi/en/unit/55965; Ruusutorpan koulu: https://www.espoo.fi/en/unit/15362; Saarnilaakson koulu: https://www.espoo.fi/en/unit/15371; Saunalahden koulu: https://www.espoo.fi/en/unit/29940; Smedsby skola: https://www.espoo.fi/en/unit/15306; Soukan koulu: https://www.espoo.fi/en/unit/15418; Sunan koulu: https://www.espoo.fi/en/unit/15405; Taavinkylän koulu: https://www.espoo.fi/en/unit/15430; Tapiolan koulu: https://www.espoo.fi/en/unit/15426; Tiistilä school: https://www.espoo.fi/en/unit/15399; Toppelundin koulu: https://www.espoo.fi/en/unit/15407; Tuomarilan koulu: https://www.espoo.fi/en/unit/15403; Vanttilan koulu: https://www.espoo.fi/en/unit/15335; Viherlaakson koulu: https://www.espoo.fi/en/unit/15408; Vindängens skola: https://www.espoo.fi/en/unit/15409; Westendinpuiston koulu: https://www.espoo.fi/en/unit/15369; Ymmerstan koulu: https://www.espoo.fi/en/unit/15305";13.10.2025;Espoo Basic Education provides city-organized education for children and young people in grades 1–9, completing compulsory education and issuing a certificate of eligibility for further studies.
Basketball courts;https://www.espoo.fi/en/sports-and-nature/outdoor-exercise-facilities/basketball-courts;Espoo offers excellent facilities for basketball. There are basketball courts in sports parks, residents’ parks and school yards. You can find a list of all courts below.;Espoo offers excellent facilities for basketball. There are basketball courts in sports parks, residents’ parks and school yards. You can find a list of all courts below.;"Aarnivalkean koulu / Basketball court: https://www.espoo.fi/en/unit/39504; Auroran koulu / Basketball court: https://www.espoo.fi/en/unit/50482; Eestinkallion koulu / Basketball court: https://www.espoo.fi/en/unit/50355; Entresse Basketball court: https://www.espoo.fi/en/unit/46306; Espoonlahden koulu ja lukio / Basketball court: https://www.espoo.fi/en/unit/50318; Espoonlahti sports park's basketball court: https://www.espoo.fi/en/unit/39616; Lansapuro park basketball court: https://www.espoo.fi/en/unit/50341";13.10.2025;Espoo provides basketball courts in sports parks, residential areas, and school yards for public use.
Beach volley fields;https://www.espoo.fi/en/sports-and-nature/outdoor-exercise-facilities/beach-volley-fields;"Beach volleyball is a fast-paced sport that offers challenges and fun. There are several beach volleyball courts in Espoo, most of which can be freely used by anyone. Some of the courts can be booked through the booking calendar.
Access the booking calendar 
here
.";"Beach volleyball is a fast-paced sport that offers challenges and fun. There are several beach volleyball courts in Espoo, most of which can be freely used by anyone. Some of the courts can be booked through the booking calendar.
Access the booking calendar 
here
.";"Espoonlahti sports park / Beach volleyball court: https://www.espoo.fi/en/unit/39374; Haukilahti beach / Beach volleyball court: https://www.espoo.fi/en/unit/39890; Iso Vasikkasaari / Beach volleyball court: https://www.espoo.fi/en/unit/53475; Kaitaan koulu (school) / Beach volleyball court: https://www.espoo.fi/en/unit/50392; Keski-Espoo sports park / Beach volleyball court: https://www.espoo.fi/en/unit/53794; Kivenlahti beach / Beach volleyball court: https://www.espoo.fi/en/unit/39444; Laaksolahti beach / Beach volleyball court: https://www.espoo.fi/en/unit/39301; Leppävaara lido / Beach volleyball court: https://www.espoo.fi/en/unit/54028; Lillhenmtinpuisto beach volleyball court: https://www.espoo.fi/en/unit/50350; Matinkylä beach / Beach volleyball court 1: https://www.espoo.fi/en/unit/50238; Matinkylä beach / Beach volleyball court 2: https://www.espoo.fi/en/unit/53648; Matinkylä beach / Beach volleyball court 3: https://www.espoo.fi/en/unit/53951; Matinkylän Rantametsä / Beach volleyball court: https://www.espoo.fi/en/unit/54040; Oittaa beach volleyball court 1: https://www.espoo.fi/en/unit/46223; Oittaa beach volleyball court 2: https://www.espoo.fi/en/unit/53622; Oittaa beach volleyball court 3: https://www.espoo.fi/en/unit/53617; Olari sports field / Beach volleyball court: https://www.espoo.fi/en/unit/50335; Opinmäen koulu (school) / Beach volleyball court: https://www.espoo.fi/en/unit/50340; Päiväkehrän koulu (school) / Beach volleyball court: https://www.espoo.fi/en/unit/57498; Röylän koulu (school) / Beach volleyball court: https://www.espoo.fi/en/unit/57496; Suinonpuisto / Beach volleyball court: https://www.espoo.fi/en/unit/46395; Uusmäki beach volleyball court: https://www.espoo.fi/en/unit/54016; Vanttilan koulu (school) / Beach volleyball court: https://www.espoo.fi/en/unit/54020; Vilniemi Beach volleyball court: https://www.espoo.fi/en/unit/50480";13.10.2025;Beach volley fields provides access to Espoo's beach volleyball courts, with most courts freely available for public use and some bookable via a booking calendar.
